날짜,날씨
2008년 07월 01일(화),흐림/안개
2008년 07월 02일(수),흐림/이슬비
2008년 07월 03일(목),흐림/안개/이슬비
2008년 07월 04일(금),흐림/안개/비
2008년 07월 05일(토),흐림/소나기/안개
2008년 07월 06일(일),흐림/안개
2008년 07월 07일(월),흐림/안개/이슬비
2008년 07월 08일(화),구름많음
2008년 07월 09일(수),맑음
2008년 07월 10일(목),구름많음
2008년 07월 11일(금),구름많음
2008년 07월 12일(토),흐림/안개/비
2008년 07월 13일(일),구름많음/안개/비
2008년 07월 14일(월),구름많음/안개
2008년 07월 15일(화),구름많음/안개
2008년 07월 16일(수),흐림/비
2008년 07월 17일(목),구름조금/안개
2008년 07월 18일(금),흐림/안개
2008년 07월 19일(토),흐림/비
2008년 07월 20일(일),흐림/천둥번개/비
2008년 07월 21일(월),흐림/비
2008년 07월 22일(화),구름많음/안개/비
2008년 07월 23일(수),흐림/안개/비
2008년 07월 24일(목),흐림/이슬비
2008년 07월 25일(금),흐림/비
2008년 07월 26일(토),흐림/비
2008년 07월 27일(일),흐림/안개/비
2008년 07월 28일(월),구름많음/안개
2008년 07월 29일(화),구름조금
2008년 07월 30일(수),구름많음/천둥번개/비
2008년 07월 31일(목),흐림/비
2008년 08월 01일(금),흐림
2008년 08월 02일(토),흐림/안개/비
2008년 08월 03일(일),구름많음/안개/비
2008년 08월 04일(월),맑음/안개
2008년 08월 05일(화),구름조금/안개
2008년 08월 06일(수),맑음/안개
2008년 08월 07일(목),맑음
2008년 08월 08일(금),맑음
2008년 08월 09일(토),구름많음/소나기
2008년 08월 10일(일),구름조금
2008년 08월 11일(월),구름많음/비
2008년 08월 12일(화),흐림/비
2008년 08월 13일(수),구름많음/안개/비
2008년 08월 14일(목),구름많음/안개
2008년 08월 15일(금),흐림/안개/비
2008년 08월 16일(토),구름많음/비
2008년 08월 17일(일),구름많음/비
2008년 08월 18일(월),흐림/이슬비
2008년 08월 19일(화),구름많음/안개
2008년 08월 20일(수),구름조금
2008년 08월 21일(목),구름조금
2008년 08월 22일(금),흐림/비
2008년 08월 23일(토),구름많음/비
2008년 08월 24일(일),구름많음
2008년 08월 25일(월),구름많음/소나기/안개
2008년 08월 26일(화),구름조금
2008년 08월 27일(수),맑음
2008년 08월 28일(목),맑음
2008년 08월 29일(금),맑음/안개
2008년 08월 30일(토),구름조금
2008년 08월 31일(일),구름많음
2008년 09월 01일(월),흐림/비
2008년 09월 02일(화),구름많음/비
2008년 09월 03일(수),구름조금
2008년 09월 04일(목),구름많음
2008년 09월 05일(금),흐림/비
2008년 09월 06일(토),구름조금
2008년 09월 07일(일),구름조금/안개
2008년 09월 08일(월),구름조금/안개
2008년 09월 09일(화),구름조금/안개
2008년 09월 10일(수),구름조금/안개
2008년 09월 11일(목),흐림/안개/비
2008년 09월 12일(금),구름조금/안개
2008년 09월 13일(토),맑음
2008년 09월 14일(일),구름조금
2008년 09월 15일(월),구름조금/안개
2008년 09월 16일(화),구름조금/안개
2008년 09월 17일(수),구름조금
2008년 09월 18일(목),맑음
2008년 09월 19일(금),구름많음
2008년 09월 20일(토),구름많음/안개/비
2008년 09월 21일(일),맑음
2008년 09월 22일(월),흐림/비
2008년 09월 23일(화),구름많음/안개
2008년 09월 24일(수),흐림/안개
2008년 09월 25일(목),흐림/안개/비
2008년 09월 26일(금),구름조금
2008년 09월 27일(토),구름많음
2008년 09월 28일(일),흐림
2008년 09월 29일(월),맑음
2008년 09월 30일(화),구름조금/안개
2008년 10월 01일(수),맑음
2008년 10월 02일(목),맑음/안개
2008년 10월 03일(금),구름조금/안개
2008년 10월 04일(토),구름많음/안개
2008년 10월 05일(일),구름많음/안개
2008년 10월 06일(월),구름많음/안개
2008년 10월 07일(화),구름조금
2008년 10월 08일(수),구름많음/안개
2008년 10월 09일(목),구름조금/안개
2008년 10월 10일(금),구름많음/안개
2008년 10월 11일(토),맑음
2008년 10월 12일(일),맑음
2008년 10월 13일(월),구름조금/안개
2008년 10월 14일(화),맑음/안개
2008년 10월 15일(수),구름많음/안개
2008년 10월 16일(목),구름많음/안개
2008년 10월 17일(금),맑음/안개
2008년 10월 18일(토),맑음/안개
2008년 10월 19일(일),구름많음/안개
2008년 10월 20일(월),맑음/안개
2008년 10월 21일(화),구름많음/안개
2008년 10월 22일(수),흐림/안개/비
2008년 10월 23일(목),흐림/안개/비
2008년 10월 24일(금),구름조금/비
2008년 10월 25일(토),구름많음/소나기/안개
2008년 10월 26일(일),구름조금
2008년 10월 27일(월),구름조금
2008년 10월 28일(화),구름조금
2008년 10월 29일(수),구름조금/안개
2008년 10월 30일(목),구름조금
2008년 10월 31일(금),구름많음/안개/비
2008년 11월 01일(토),구름조금/안개
2008년 11월 02일(일),구름조금/안개
2008년 11월 03일(월),맑음/안개
2008년 11월 04일(화),맑음
2008년 11월 05일(수),구름조금
2008년 11월 06일(목),구름많음/안개
2008년 11월 07일(금),흐림/안개
2008년 11월 08일(토),구름조금
2008년 11월 09일(일),구름많음/비
2008년 11월 10일(월),맑음
2008년 11월 11일(화),맑음
2008년 11월 12일(수),맑음
2008년 11월 13일(목),구름조금/안개
2008년 11월 14일(금),구름많음/안개
2008년 11월 15일(토),흐림/안개/비
2008년 11월 16일(일),맑음/안개
2008년 11월 17일(월),구름조금
2008년 11월 18일(화),맑음
2008년 11월 19일(수),맑음
2008년 11월 20일(목),구름조금/진눈개비
2008년 11월 21일(금),맑음
2008년 11월 22일(토),구름많음
2008년 11월 23일(일),구름조금
2008년 11월 24일(월),구름많음/안개
2008년 11월 25일(화),구름조금/안개
2008년 11월 26일(수),구름많음/안개
2008년 11월 27일(목),흐림/안개/비
2008년 11월 28일(금),구름많음/안개/비
2008년 11월 29일(토),구름조금/비
2008년 11월 30일(일),구름조금
2008년 12월 01일(월),흐림/비
2008년 12월 02일(화),맑음/황사/비
2008년 12월 03일(수),구름조금/안개
2008년 12월 04일(목),흐림/비
2008년 12월 05일(금),맑음
2008년 12월 06일(토),맑음
2008년 12월 07일(일),흐림/눈
2008년 12월 08일(월),구름많음/안개/비
2008년 12월 09일(화),구름조금/안개/황사/비
2008년 12월 10일(수),구름많음/안개
2008년 12월 11일(목),구름조금/비
2008년 12월 12일(금),구름많음/안개
2008년 12월 13일(토),구름조금/안개
2008년 12월 14일(일),맑음
2008년 12월 15일(월),맑음
2008년 12월 16일(화),구름많음/안개
2008년 12월 17일(수),구름많음/안개/비
2008년 12월 18일(목),맑음
2008년 12월 19일(금),구름많음/비
2008년 12월 20일(토),흐림/비
2008년 12월 21일(일),구름많음
2008년 12월 22일(월),구름조금/눈
2008년 12월 23일(화),구름조금/안개/눈
2008년 12월 24일(수),흐림/안개
2008년 12월 25일(목),맑음
2008년 12월 26일(금),맑음
2008년 12월 27일(토),구름조금
2008년 12월 28일(일),구름많음/안개
2008년 12월 29일(월),흐림/안개/진눈개비
2008년 12월 30일(화),맑음
2008년 12월 31일(수),맑음
2009년 01월 01일(목),맑음
2009년 01월 02일(금),맑음
2009년 01월 03일(토),맑음
2009년 01월 04일(일),구름조금
2009년 01월 05일(월),맑음/안개
2009년 01월 06일(화),구름조금/안개
2009년 01월 07일(수),맑음/안개
2009년 01월 08일(목),구름조금/안개
2009년 01월 09일(금),맑음
2009년 01월 10일(토),맑음
2009년 01월 11일(일),맑음
2009년 01월 12일(월),맑음
2009년 01월 13일(화),맑음
2009년 01월 14일(수),맑음
2009년 01월 15일(목),구름조금
2009년 01월 16일(금),구름많음/안개/눈
2009년 01월 17일(토),맑음/안개
2009년 01월 18일(일),구름많음/안개
2009년 01월 19일(월),구름조금
2009년 01월 20일(화),구름많음
2009년 01월 21일(수),흐림
2009년 01월 22일(목),구름많음/안개
2009년 01월 23일(금),맑음
2009년 01월 24일(토),구름조금/눈
2009년 01월 25일(일),구름조금/눈
2009년 01월 26일(월),구름조금
2009년 01월 27일(화),맑음
2009년 01월 28일(수),맑음
2009년 01월 29일(목),구름조금
2009년 01월 30일(금),구름조금
2009년 01월 31일(토),맑음
2009년 02월 01일(일),맑음
2009년 02월 02일(월),구름많음/안개
2009년 02월 03일(화),구름조금/안개
2009년 02월 04일(수),구름조금/안개
2009년 02월 05일(목),흐림/안개/비
2009년 02월 06일(금),구름조금/안개
2009년 02월 07일(토),흐림/안개
2009년 02월 08일(일),맑음/안개
2009년 02월 09일(월),흐림/안개
2009년 02월 10일(화),흐림/안개
2009년 02월 11일(수),구름많음/안개
2009년 02월 12일(목),구름많음/안개/비
2009년 02월 13일(금),흐림/안개/비
2009년 02월 14일(토),구름많음/안개
2009년 02월 15일(일),구름많음/눈
2009년 02월 16일(월),맑음
2009년 02월 17일(화),맑음
2009년 02월 18일(수),구름조금
2009년 02월 19일(목),흐림/안개/진눈개비
2009년 02월 20일(금),구름조금/황사/눈
2009년 02월 21일(토),구름조금
2009년 02월 22일(일),구름많음/안개
2009년 02월 23일(월),구름조금
2009년 02월 24일(화),흐림/안개/비
2009년 02월 25일(수),구름많음/안개
2009년 02월 26일(목),구름많음
2009년 02월 27일(금),구름조금
2009년 02월 28일(토),구름조금
2009년 03월 01일(일),맑음
2009년 03월 02일(월),구름많음
2009년 03월 03일(화),흐림/안개/눈
2009년 03월 04일(수),구름조금/안개
2009년 03월 05일(목),흐림/안개/비
2009년 03월 06일(금),구름조금/안개
2009년 03월 07일(토),구름조금
2009년 03월 08일(일),구름조금
2009년 03월 09일(월),구름조금/안개
2009년 03월 10일(화),구름조금
2009년 03월 11일(수),구름조금
2009년 03월 12일(목),흐림/비
2009년 03월 13일(금),구름많음/비
2009년 03월 14일(토),맑음/황사
2009년 03월 15일(일),구름많음
2009년 03월 16일(월),구름많음/황사
2009년 03월 17일(화),맑음/안개/황사
2009년 03월 18일(수),흐림
2009년 03월 19일(목),흐림/안개/이슬비
2009년 03월 20일(금),맑음
2009년 03월 21일(토),구름많음/안개/비
2009년 03월 22일(일),구름많음/안개/비
2009년 03월 23일(월),맑음
2009년 03월 24일(화),구름많음
2009년 03월 25일(수),구름조금
2009년 03월 26일(목),구름많음/안개/비
2009년 03월 27일(금),맑음
2009년 03월 28일(토),구름조금
2009년 03월 29일(일),구름조금
2009년 03월 30일(월),구름많음
2009년 03월 31일(화),구름많음/안개
2009년 04월 01일(수),구름조금/안개
2009년 04월 02일(목),구름조금
2009년 04월 03일(금),구름많음
2009년 04월 04일(토),구름많음/안개
2009년 04월 05일(일),맑음/안개
2009년 04월 06일(월),맑음/안개
2009년 04월 07일(화),맑음/안개
2009년 04월 08일(수),맑음/안개
2009년 04월 09일(목),맑음/안개
2009년 04월 10일(금),맑음/안개
2009년 04월 11일(토),구름조금/안개
2009년 04월 12일(일),구름많음/안개
2009년 04월 13일(월),구름많음/안개
2009년 04월 14일(화),구름조금
2009년 04월 15일(수),구름많음/안개/이슬비
2009년 04월 16일(목),구름조금
2009년 04월 17일(금),맑음
2009년 04월 18일(토),맑음
2009년 04월 19일(일),구름많음
2009년 04월 20일(월),흐림/비
2009년 04월 21일(화),흐림/안개/비
2009년 04월 22일(수),구름조금
2009년 04월 23일(목),구름조금
2009년 04월 24일(금),흐림/비
2009년 04월 25일(토),흐림/비
2009년 04월 26일(일),흐림
2009년 04월 27일(월),구름조금/소나기/천둥번개
2009년 04월 28일(화),맑음/소나기/안개
2009년 04월 29일(수),맑음/안개
2009년 04월 30일(목),구름많음
2009년 05월 01일(금),구름조금
2009년 05월 02일(토),흐림/비
2009년 05월 03일(일),구름조금
2009년 05월 04일(월),맑음/안개
2009년 05월 05일(화),구름조금/안개
2009년 05월 06일(수),맑음/안개
2009년 05월 07일(목),맑음
2009년 05월 08일(금),맑음/안개
2009년 05월 09일(토),구름조금
2009년 05월 10일(일),흐림
2009년 05월 11일(월),흐림/비
2009년 05월 12일(화),구름많음/안개/비
2009년 05월 13일(수),맑음
2009년 05월 14일(목),구름조금
2009년 05월 15일(금),흐림/안개/비
2009년 05월 16일(토),흐림/비
2009년 05월 17일(일),구름많음/안개/비
2009년 05월 18일(월),맑음
2009년 05월 19일(화),맑음/안개
2009년 05월 20일(수),구름많음/안개
2009년 05월 21일(목),흐림/비
2009년 05월 22일(금),구름많음/비
2009년 05월 23일(토),흐림/안개/비
2009년 05월 24일(일),구름조금/안개
2009년 05월 25일(월),맑음/안개
2009년 05월 26일(화),구름조금
2009년 05월 27일(수),맑음
2009년 05월 28일(목),맑음
2009년 05월 29일(금),구름조금
2009년 05월 30일(토),구름조금
2009년 05월 31일(일),맑음
2009년 06월 01일(월),맑음/안개
2009년 06월 02일(화),구름많음/안개/천둥번개/비
2009년 06월 03일(수),구름많음/안개/비
2009년 06월 04일(목),구름조금/안개
2009년 06월 05일(금),맑음
2009년 06월 06일(토),구름조금
2009년 06월 07일(일),구름많음
2009년 06월 08일(월),구름많음/안개
2009년 06월 09일(화),흐림/안개/비
2009년 06월 10일(수),흐림/안개/비
2009년 06월 11일(목),구름많음/비
2009년 06월 12일(금),구름조금/비
2009년 06월 13일(토),구름조금
2009년 06월 14일(일),구름많음/안개
2009년 06월 15일(월),구름조금/안개
2009년 06월 16일(화),구름조금/안개
2009년 06월 17일(수),흐림/안개
2009년 06월 18일(목),구름조금/안개
2009년 06월 19일(금),흐림/안개
2009년 06월 20일(토),흐림/비
2009년 06월 21일(일),구름많음/비
2009년 06월 22일(월),구름많음/안개
2009년 06월 23일(화),맑음
2009년 06월 24일(수),맑음
2009년 06월 25일(목),구름조금
2009년 06월 26일(금),구름조금/안개
2009년 06월 27일(토),구름조금/안개
2009년 06월 28일(일),흐림/비
2009년 06월 29일(월),구름많음/비
2009년 06월 30일(화),흐림/안개/비
2009년 07월 01일(수),구름많음/안개
2009년 07월 02일(목),흐림/안개/천둥번개/비
2009년 07월 03일(금),구름많음/소나기/안개
2009년 07월 04일(토),구름많음/소나기/안개/천둥번개
2009년 07월 05일(일),구름조금/안개
2009년 07월 06일(월),구름많음/소나기/안개
2009년 07월 07일(화),구름많음/안개/비
2009년 07월 08일(수),흐림/안개
2009년 07월 09일(목),흐림/천둥번개/비
2009년 07월 10일(금),구름조금/안개
2009년 07월 11일(토),흐림/안개/비
2009년 07월 12일(일),흐림/안개/천둥번개/비
2009년 07월 13일(월),흐림/이슬비
2009년 07월 14일(화),흐림/천둥번개/비
2009년 07월 15일(수),흐림/안개
2009년 07월 16일(목),구름많음/안개
2009년 07월 17일(금),흐림/안개/천둥번개/비
2009년 07월 18일(토),흐림/안개/비
2009년 07월 19일(일),구름많음/안개/비
2009년 07월 20일(월),흐림/안개/비
2009년 07월 21일(화),구름많음
2009년 07월 22일(수),맑음/안개
2009년 07월 23일(목),구름많음
2009년 07월 24일(금),구름많음/소나기
2009년 07월 25일(토),구름많음/비
2009년 07월 26일(일),구름조금/소나기
2009년 07월 27일(월),구름많음/소나기
2009년 07월 28일(화),흐림/비
2009년 07월 29일(수),구름조금/비
2009년 07월 30일(목),구름많음/안개
2009년 07월 31일(금),구름조금/소나기/안개
2009년 08월 01일(토),구름많음/비
2009년 08월 02일(일),구름많음/소나기/안개
2009년 08월 03일(월),구름많음/안개
2009년 08월 04일(화),구름많음
2009년 08월 05일(수),구름조금
2009년 08월 06일(목),흐림/비
2009년 08월 07일(금),흐림/비
2009년 08월 08일(토),흐림/비
2009년 08월 09일(일),구름조금
2009년 08월 10일(월),구름조금
2009년 08월 11일(화),흐림/비
2009년 08월 12일(수),구름많음/비
2009년 08월 13일(목),구름조금/안개
2009년 08월 14일(금),맑음/안개
2009년 08월 15일(토),맑음/안개
2009년 08월 16일(일),맑음
2009년 08월 17일(월),구름많음/소나기
2009년 08월 18일(화),구름많음/안개/비
2009년 08월 19일(수),구름많음/안개
2009년 08월 20일(목),구름많음/안개/비
2009년 08월 21일(금),구름많음
2009년 08월 22일(토),구름많음
2009년 08월 23일(일),맑음
2009년 08월 24일(월),구름조금
2009년 08월 25일(화),구름많음/소나기
2009년 08월 26일(수),흐림/비
2009년 08월 27일(목),흐림/안개/비
2009년 08월 28일(금),구름조금/안개
2009년 08월 29일(토),구름많음
2009년 08월 30일(일),구름많음/비
2009년 08월 31일(월),맑음
2009년 09월 01일(화),맑음
2009년 09월 02일(수),맑음
2009년 09월 03일(목),구름조금
2009년 09월 04일(금),구름조금
2009년 09월 05일(토),구름조금/안개
2009년 09월 06일(일),구름많음/안개
2009년 09월 07일(월),흐림/안개/이슬비
2009년 09월 08일(화),구름조금
2009년 09월 09일(수),맑음
2009년 09월 10일(목),구름많음
2009년 09월 11일(금),흐림/비
2009년 09월 12일(토),구름많음/천둥번개/비
2009년 09월 13일(일),맑음/안개
2009년 09월 14일(월),구름많음/안개
2009년 09월 15일(화),구름조금/안개
2009년 09월 16일(수),맑음/안개
2009년 09월 17일(목),구름조금
2009년 09월 18일(금),맑음/안개
2009년 09월 19일(토),맑음
2009년 09월 20일(일),구름많음
2009년 09월 21일(월),흐림/안개/비
2009년 09월 22일(화),구름조금/안개/황사
2009년 09월 23일(수),맑음
2009년 09월 24일(목),구름조금
2009년 09월 25일(금),구름많음/안개
2009년 09월 26일(토),구름많음
2009년 09월 27일(일),흐림/비
2009년 09월 28일(월),구름많음/안개/비
2009년 09월 29일(화),구름조금/소나기/안개
2009년 09월 30일(수),구름조금
2009년 10월 01일(목),구름조금
2009년 10월 02일(금),구름조금/안개
2009년 10월 03일(토),구름조금/소나기
2009년 10월 04일(일),구름조금
2009년 10월 05일(월),맑음
2009년 10월 06일(화),맑음
2009년 10월 07일(수),맑음
2009년 10월 08일(목),구름조금
2009년 10월 09일(금),구름조금
2009년 10월 10일(토),맑음
2009년 10월 11일(일),구름조금
2009년 10월 12일(월),구름조금/안개
2009년 10월 13일(화),구름조금/안개/천둥번개/비
2009년 10월 14일(수),구름조금/비
2009년 10월 15일(목),맑음/안개
2009년 10월 16일(금),구름조금/소나기/안개/천둥번개
2009년 10월 17일(토),구름조금/비
2009년 10월 18일(일),구름조금
2009년 10월 19일(월),구름많음/비
2009년 10월 20일(화),맑음/황사
2009년 10월 21일(수),맑음
2009년 10월 22일(목),구름조금
2009년 10월 23일(금),구름조금/안개/비
2009년 10월 24일(토),맑음/안개
2009년 10월 25일(일),구름조금/안개
2009년 10월 26일(월),맑음/안개
2009년 10월 27일(화),맑음/안개
2009년 10월 28일(수),맑음/안개
2009년 10월 29일(목),맑음/안개
2009년 10월 30일(금),맑음/안개
2009년 10월 31일(토),흐림/안개/비
2009년 11월 01일(일),구름많음/안개/비
2009년 11월 02일(월),맑음
2009년 11월 03일(화),구름조금
2009년 11월 04일(수),구름많음/안개/이슬비
2009년 11월 05일(목),구름조금/안개/비
2009년 11월 06일(금),구름조금/안개/비
2009년 11월 07일(토),구름많음/안개/비
2009년 11월 08일(일),구름많음/이슬비
2009년 11월 09일(월),구름많음
2009년 11월 10일(화),흐림
2009년 11월 11일(수),구름조금
2009년 11월 12일(목),구름많음
2009년 11월 13일(금),흐림/비
2009년 11월 14일(토),구름많음/안개
2009년 11월 15일(일),구름조금
2009년 11월 16일(월),구름많음
2009년 11월 17일(화),구름조금
2009년 11월 18일(수),맑음
2009년 11월 19일(목),구름조금
2009년 11월 20일(금),구름많음/진눈개비
2009년 11월 21일(토),맑음
2009년 11월 22일(일),구름많음/비
2009년 11월 23일(월),구름조금/안개
2009년 11월 24일(화),맑음/안개
2009년 11월 25일(수),구름많음/안개/이슬비
2009년 11월 26일(목),구름조금/안개
2009년 11월 27일(금),흐림/안개
2009년 11월 28일(토),구름많음/안개
2009년 11월 29일(일),흐림/안개/비
2009년 11월 30일(월),구름조금/안개
2009년 12월 01일(화),구름조금/안개
2009년 12월 02일(수),구름많음/안개
2009년 12월 03일(목),흐림/안개/이슬비
2009년 12월 04일(금),구름조금/안개
2009년 12월 05일(토),구름많음/비
2009년 12월 06일(일),맑음
2009년 12월 07일(월),맑음
2009년 12월 08일(화),구름많음/안개/비
2009년 12월 09일(수),흐림/안개
2009년 12월 10일(목),흐림/이슬비
2009년 12월 11일(금),흐림/비
2009년 12월 12일(토),구름조금
2009년 12월 13일(일),구름조금
2009년 12월 14일(월),맑음
2009년 12월 15일(화),구름조금
2009년 12월 16일(수),맑음
2009년 12월 17일(목),맑음
2009년 12월 18일(금),맑음
2009년 12월 19일(토),맑음
2009년 12월 20일(일),맑음
2009년 12월 21일(월),맑음
2009년 12월 22일(화),구름많음/안개
2009년 12월 23일(수),구름많음/안개/비
2009년 12월 24일(목),구름조금/안개
2009년 12월 25일(금),구름많음/안개/황사/눈
2009년 12월 26일(토),맑음
2009년 12월 27일(일),구름조금/안개/눈
2009년 12월 28일(월),맑음
2009년 12월 29일(화),구름많음/눈
2009년 12월 30일(수),구름많음/안개/눈
2009년 12월 31일(목),맑음
2010년 01월 01일(금),구름조금
2010년 01월 02일(토),구름많음/안개/눈
2010년 01월 03일(일),구름조금
2010년 01월 04일(월),구름많음/눈
2010년 01월 05일(화),구름조금
2010년 01월 06일(수),맑음
2010년 01월 07일(목),맑음/안개
2010년 01월 08일(금),맑음/안개
